City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lihue,21.9789,-159.3672,305.73,63,75,9.77,US,1691617481
1,ilulissat,69.2167,-51.1,285.16,43,75,1.54,GL,1691617490
2,mount gambier,-37.8333,140.7667,283.32,71,100,4.34,AU,1691617458
3,ushuaia,-54.8,-68.3,280.96,53,40,6.69,AR,1691617435
4,port-aux-francais,-49.35,70.2167,275.82,78,94,12.52,TF,1691617430
5,uturoa,-16.7333,-151.4333,298.2,71,18,7.74,PF,1691617623
6,anadyr,64.75,177.4833,284.43,82,75,5.0,RU,1691617480
7,grytviken,-54.2811,-36.5092,266.74,90,29,1.41,GS,1691617475
8,albany,42.6001,-73.9662,300.86,53,40,4.74,US,1691617474
9,edinburgh of the seven seas,-37.0676,-12.3116,283.85,59,57,10.99,SH,1691617473
10,isafjordur,66.0755,-23.124,281.76,68,90,3.54,IS,1691617384
11,gunnison,38.7,-107.0673,296.81,17,6,5.99,US,1691617664
12,west island,-12.1568,96.8225,298.14,83,100,5.66,CC,1691617512
13,vadso,70.0744,29.7487,295.64,77,10,2.06,NO,1691617584
14,oulad teima,30.3947,-9.209,297.75,51,63,1.62,MA,1691617664
15,thompson,55.7435,-97.8558,292.24,48,75,1.54,CA,1691617413
16,wailua homesteads,22.0669,-159.378,305.39,71,75,9.77,US,1691617486
17,chui,-33.6971,-53.4616,288.54,85,86,5.57,UY,1691617583
18,noshiro,40.2039,140.0242,301.48,74,38,2.95,JP,1691617664
19,verdal,63.7933,11.4817,287.17,72,5,3.76,NO,1691617664
20,ko pha ngan,9.7578,100.0291,298.69,75,73,7.37,TH,1691617665
21,luena,-11.7833,19.9167,288.45,38,0,1.99,AO,1691617454
22,aasiaat,68.7098,-52.8699,277.49,83,14,4.18,GL,1691617439
23,funafuti,-8.5243,179.1942,305.15,79,20,3.09,TV,1691617665
24,puerto natales,-51.7236,-72.4875,275.76,95,88,1.46,CL,1691617475
25,naze,28.3667,129.4833,298.66,88,66,5.01,JP,1691617665
26,grants,35.1473,-107.8514,303.28,14,40,6.69,US,1691617665
27,port mathurin,-19.6833,63.4167,295.99,66,0,7.37,MU,1691617477
